ID,title,price,promo_price,url
3286080,Батончик Леовит Худеем за неделю мюсли с черникой и лютеином 30г,38.9,23.9,https://www.detmir.ru/product/index/id/3286080/
3486245,Снеки Зеленика сушеное манго 15г,128.9,,https://www.detmir.ru/product/index/id/3486245/
3277156,Чипсы NEWTON апельсиновые 25г,140.9,131.9,https://www.detmir.ru/product/index/id/3277156/
3430124,Батончик SIBERRYA Физкульт злаковый 35г,44.9,,https://www.detmir.ru/product/index/id/3430124/
3608689,Батончик глазированный Snaq Fabriq ананас 40г,64.9,,https://www.detmir.ru/product/index/id/3608689/
3649389,Чипсы MOjNO персик-клубника со вкусом милкшейк 50г,164.9,,https://www.detmir.ru/product/index/id/3649389/
3728587,Снек Bob Snail Фруктовый хурма в молочном бельгийском шоколаде без добавленного сахара 60г,190.9,162.1,https://www.detmir.ru/product/index/id/3728587/
3710569,Батончик Капитан Сильвер с какао в белой глазури 50г,64.9,45.3,https://www.detmir.ru/product/index/id/3710569/
3426687,Батончик-мюсли Actifruit злаковый Карамель 24г,34.9,29.5,https://www.detmir.ru/product/index/id/3426687/
3286049,Сухофрукт Семушка слива черная сушеная 130г,187.9,75.1,https://www.detmir.ru/product/index/id/3286049/
3533605,Фрукты сушеные Gifruit дыня 15г,114.9,,https://www.detmir.ru/product/index/id/3533605/
3992483,Батончик ФРУТИЛАД Kids банан-яблоко-морковь 25г в ассортименте,42.1,,https://www.detmir.ru/product/index/id/3992483/
3298575,Батончик Фруктовая Энергия Фрутилад облепиха 30г,44.9,38.1,https://www.detmir.ru/product/index/id/3298575/
3533615,Фрукты сушеные Gifruit хурма 80г,249,,https://www.detmir.ru/product/index/id/3533615/
3335271,Батончик ПП мюсли манго в йогуртовой глазури 30г,55.9,42.9,https://www.detmir.ru/product/index/id/3335271/
3486244,Снеки Зеленика сушеная клубника 15г,128.9,,https://www.detmir.ru/product/index/id/3486244/
3819339,Фрукты сушеные Gifruit exotic манго 45г,84.9,,https://www.detmir.ru/product/index/id/3819339/
4047023,Чипсы PastiLab фруктовые микс яблоко-груша-апельсин-банан 30г,124.9,106.1,https://www.detmir.ru/product/index/id/4047023/
3467301,Карамель медовая HoneyWay горное разнотравье 30г,209,104.5,https://www.detmir.ru/product/index/id/3467301/
3294950,Козинак Рототайка на фруктозе кунжут-чернослив 27г,24.9,21.9,https://www.detmir.ru/product/index/id/3294950/
3444364,Батончик-мюсли Диа-Веста Vogue абрикос в глазури 37г,26.5,,https://www.detmir.ru/product/index/id/3444364/
3277073,Снеки Зеленика сушеная зеленая фасоль 30г,159.9,,https://www.detmir.ru/product/index/id/3277073/
3480618,Ядра Nutvill арахиса сырые 500г,317,265,https://www.detmir.ru/product/index/id/3480618/
3444374,Завтрак сухой Диа-Веста Класс с ягодой черники 30г,19.5,,https://www.detmir.ru/product/index/id/3444374/
3533588,Фрукты сушеные Gifruit дикое яблоко 250г,439,219,https://www.detmir.ru/product/index/id/3533588/
3295001,Батончик Bifrut мюсли на фруктозе ананас 30г,24.9,18.9,https://www.detmir.ru/product/index/id/3295001/
3710575,Батончик Капитан Сильвер ореховый йод в шоколадной глазури 35г,29.9,,https://www.detmir.ru/product/index/id/3710575/
4094125,Суперфуд Gifruit виноградно-ореховый микс 100г,196.9,,https://www.detmir.ru/product/index/id/4094125/
3649386,Чипсы MOjNO батат-сыр чеддер 75г,199.9,,https://www.detmir.ru/product/index/id/3649386/
3286083,Батончик Леовит Фрутончик со злаками изюм-слива-гречка 20г,44.9,,https://www.detmir.ru/product/index/id/3286083/
3533612,Фрукты сушеные Gifruit дикое яблоко 65г,166.9,83.3,https://www.detmir.ru/product/index/id/3533612/
3889807,Ирис Липузя Детский 40г Липузя,28.9,,https://www.detmir.ru/product/index/id/3889807/
3277070,Снеки Зеленика сушеный батат 50г,178.9,,https://www.detmir.ru/product/index/id/3277070/
3649385,Чипсы MOjNO картофель-грибы в шиитаке-лук со сметаной 75г,149.9,,https://www.detmir.ru/product/index/id/3649385/
3889804,Гематоген Народный глазурь орех кедр 40г,49.9,,https://www.detmir.ru/product/index/id/3889804/
3464049,Чипсы Яблоков из кисло-сладких яблок 25г,114.9,68.9,https://www.detmir.ru/product/index/id/3464049/
3604584,Хлебцы Ого! хрустящие ржаные с солодом 75г,26.9,,https://www.detmir.ru/product/index/id/3604584/
3618240,Батончик Take a Bitey фруктово-ягодный яблоко-груша 25гр с 2лет,54.9,46.5,https://www.detmir.ru/product/index/id/3618240/
3286858,Снек Take a Bite паффы мультизлаковые трюфель 30г,84.9,69.9,https://www.detmir.ru/product/index/id/3286858/
3889799,Гематоген Народный с курагой 40г,35.9,,https://www.detmir.ru/product/index/id/3889799/
3728582,Снек Bob Snail Фруктовый яблочно-грушевый в молочном бельгийском шоколаде без добавленного сахара 30г,104.9,83.9,https://www.detmir.ru/product/index/id/3728582/
3286820,Батончик Take a Bite Тонус орехово-фруктовый кумкват-лимон 45г,118.9,79.9,https://www.detmir.ru/product/index/id/3286820/
3444362,Батончик Диа-Веста Бон Здоровье от Природы шоколад 30г,26.5,,https://www.detmir.ru/product/index/id/3444362/
3276024,Снек Marc&Фиса Фрустики абрикос-тыква 15г с 1года,34.9,17.4,https://www.detmir.ru/product/index/id/3276024/
3277072,Снеки Зеленика сушеный шиитаке 50г,229,,https://www.detmir.ru/product/index/id/3277072/
3277085,Снеки Зеленика сушеная дыня 20г,209,,https://www.detmir.ru/product/index/id/3277085/
3277086,Снеки Зеленика сушеная вишня 25 г,195.5,,https://www.detmir.ru/product/index/id/3277086/
3286034,Орехи Семушка смесь орехов с клюквой 50г,108.9,67.1,https://www.detmir.ru/product/index/id/3286034/
3286043,Орехи Семушка макадамия 150г,749,407,https://www.detmir.ru/product/index/id/3286043/
3286052,Лаваш Семушка фруктовый из сливы 80г,108.9,32.5,https://www.detmir.ru/product/index/id/3286052/
3286079,Батончик Леовит Худеем за неделю мюсли с фенхелем и зеленым чаем 30г,38.9,32.9,https://www.detmir.ru/product/index/id/3286079/
3286090,Батончик Леовит Detox ягодный 25г,79.9,67.9,https://www.detmir.ru/product/index/id/3286090/
3286827,Батончик Take a Bite Мята орехово-фруктовый мята 45г,124.9,85.9,https://www.detmir.ru/product/index/id/3286827/
3298572,Батончик Фруктовая Энергия Фикси яблоко 30г,40.7,28.3,https://www.detmir.ru/product/index/id/3298572/
3298576,Батончик Фруктовая Энергия Фрутилад чернослив 30г,44.9,38.1,https://www.detmir.ru/product/index/id/3298576/
3328919,Батончик Pastilata фруктовый облепиха-яблоко 30г,77.9,,https://www.detmir.ru/product/index/id/3328919/
3415081,Батончик Биокей с клубникой и цельными злаками 25г,28.9,23.1,https://www.detmir.ru/product/index/id/3415081/
3418935,Хлебцы ПП ржаные с кориандром и тмином 100г,98.9,88.9,https://www.detmir.ru/product/index/id/3418935/
3419013,Батончик DiYes апельсин-фундук-арахис с молочным шоколадом и витамином С 40г,66.7,53.3,https://www.detmir.ru/product/index/id/3419013/
3422196,Батончик Bionova №7 инжир-орехи 35г,89.9,74.3,https://www.detmir.ru/product/index/id/3422196/
3430117,Батончик SIBERRYA Сильный злаковый 35г,54.9,43.9,https://www.detmir.ru/product/index/id/3430117/
3464052,Кольца Яблоков из кисло-сладких яблок 50г,195.5,156.3,https://www.detmir.ru/product/index/id/3464052/
3491027,Батончик Racionika диетический постный апельсин 50г,84.9,59.9,https://www.detmir.ru/product/index/id/3491027/
3503232,Клубника Chikalab сублимационной сушки кусочки 3-5 мм 50г,319,271,https://www.detmir.ru/product/index/id/3503232/
3533592,Фрукты сушеные Gifruit хурма 250г,449,,https://www.detmir.ru/product/index/id/3533592/
3533604,Фрукты сушеные Gifruit дикое яблоко 25г,94.9,,https://www.detmir.ru/product/index/id/3533604/
3533607,Фрукты сушеные Gifruit хурма 30г,149.9,,https://www.detmir.ru/product/index/id/3533607/
3533608,Фрукты сушеные Gifruit яблоко 20г,89.9,,https://www.detmir.ru/product/index/id/3533608/
3533616,Фрукты сушеные Gifruit яблоко 45г,119.9,,https://www.detmir.ru/product/index/id/3533616/
3533617,Фрукты сушеные Gifruit киви 75г,209,177.5,https://www.detmir.ru/product/index/id/3533617/
3649390,Чипсы MOjNO яблоко-карамельное латте 50г,164.9,,https://www.detmir.ru/product/index/id/3649390/
3700737,Батончик ФРУТИЛАД Kids яблочный 25г в ассортименте,42.1,,https://www.detmir.ru/product/index/id/3700737/
3710563,Биологически активная добавка Капитан Сильвер Батончик с магнием в шоколадной глазури 50г,34.9,32.9,https://www.detmir.ru/product/index/id/3710563/
3819337,Фрукты сушеные Gifruit exotic манго 250г,441,,https://www.detmir.ru/product/index/id/3819337/
3991966,Батончик More life банан 40г,48.9,,https://www.detmir.ru/product/index/id/3991966/
4094126,Суперфуд Gifruit виноград-фундук 100г,196.9,,https://www.detmir.ru/product/index/id/4094126/
4094127,Суперфуд Gifruit виноград-миндаль 100г,196.9,,https://www.detmir.ru/product/index/id/4094127/
4094128,Суперфуд Gifruit виноград-грецкий орех 100г,196.9,,https://www.detmir.ru/product/index/id/4094128/
3284518,Набор батончиков Take a Bite Candy фруктово-ягодный 120г,265,225,https://www.detmir.ru/product/index/id/3284518/
3284519,Набор батончиков Take a Bite Candy фруктово-ягодный 120г,265,225,https://www.detmir.ru/product/index/id/3284519/
3480256,Батончик SOJ Ореховый с медом орехи-мед-морская соль 40г,138.9,55.5,https://www.detmir.ru/product/index/id/3480256/
3700738,Батончик ФРУТИЛАД Kids с черникой 25г в ассортименте,42.1,,https://www.detmir.ru/product/index/id/3700738/
3954987,Каштаны Вкусы Мира запеченные очищенные 45г,96.5,,https://www.detmir.ru/product/index/id/3954987/
